timestamp,elapsed_s,arm,tps, ,temp_c,violation_flag,kernel_freq_mhz,actual_freq_mhz,throttle_bits
1774008008,277.569,B3,0,1349,81.8,1,1200,1200,0
1774008009,278.573,B3,0,1349,81.3,1,1200,1200,0
1774008010,279.574,B3,0,1349,79.4,0,1200,1200,8
1774008011,280.576,B3,0,1349,80.3,1,1200,1200,0
1774008012,281.576,B3,0,1349,80.8,1,1200,1200,0
1774008013,282.576,B3,0,1349,79.9,0,1200,1200,0
1774008014,283.576,B3,0,1349,80.8,1,1200,1200,0
1774008015,284.577,B3,0,1349,81.3,1,1200,1200,8
1774008016,285.577,B3,0,1349,81.8,1,1200,1200,0
1774008017,286.581,B3,0,1349,81.3,1,1200,1200,0
1774008018,287.585,B3,0,1349,81.3,1,1200,1200,0
1774008019,288.585,B3,0,1349,81.3,1,1200,1200,0
1774008020,289.585,B3,0,1349,80.3,1,1200,1200,0
1774008021,290.585,B3,0,1349,80.8,1,1200,1200,0
1774008022,291.589,B3,0,1349,81.3,1,1200,1200,0
1774008023,292.593,B3,0,1349,80.3,1,1200,1200,0
1774008024,293.597,B3,93.6615,1444,80.8,1,1200,1200,0
1774008025,294.601,B3,0,1444,81.3,1,1200,1200,0
1774008026,295.605,B3,0,1444,79.9,0,1200,1200,0
1774008027,296.609,B3,0,1444,81.3,1,1200,1200,0
1774008028,297.613,B3,0,1444,80.8,1,1200,1200,0
1774008029,298.613,B3,0,1444,82.3,1,1200,1200,0
1774008030,299.613,B3,0,1444,80.8,1,1200,1200,0
1774008031,300.617,B3,0,1444,81.8,1,1200,1200,0
1774008032,301.619,B3,0,1444,81.8,1,1200,1200,0
1774008033,302.619,B3,0,1444,80.3,1,1200,1200,8
1774008034,303.619,B3,0,1444,81.3,1,1200,1200,8
1774008035,304.62,B3,0,1444,80.8,1,1200,1200,0
1774008036,305.62,B3,0,1444,79.9,0,1200,1200,0
1774008037,306.62,B3,0,1444,81.3,1,1200,1200,0
1774008038,307.62,B3,0,1444,80.8,1,1200,1200,0
1774008039,308.62,B3,0,1444,81.3,1,1200,1200,0
1774008040,309.621,B3,0,1444,80.3,1,1200,1200,0
1774008041,310.621,B3,0,1444,80.8,1,1200,1200,0
1774008042,311.625,B3,0,1444,81.3,1,1200,1200,8
1774008043,312.625,B3,0,1444,80.3,1,1200,1200,0
1774008044,313.625,B3,0,1444,80.3,1,1200,1200,0
1774008045,314.627,B3,0,1444,80.3,1,1200,1200,0
1774008046,315.627,B3,0,1444,80.8,1,1200,1200,0
1774008047,316.628,B3,0,1444,80.3,1,1200,1200,0
1774008048,317.629,B3,0,1444,80.3,1,1200,1200,0
1774008049,318.629,B3,0,1444,81.3,1,1200,1200,0
1774008050,319.633,B3,0,1444,81.8,1,1200,1200,0
1774008051,320.637,B3,0,1444,80.8,1,1200,1200,0
1774008052,321.641,B3,0,1444,80.8,1,1200,1200,0
1774008053,322.645,B3,0,1444,80.8,1,1200,1200,0
1774008054,323.645,B3,0,1444,82.3,1,1200,1200,0
1774008055,324.648,B3,140.2266,1594,80.3,1,1200,1200,0
1774008056,325.648,B3,0,1594,80.3,1,1200,1200,0
1774008057,326.648,B3,0,1594,81.8,1,1200,1200,0
1774008058,327.648,B3,0,1594,81.8,1,1200,1200,0
1774008059,328.648,B3,0,1594,81.3,1,1200,1200,0
1774008060,329.649,B3,0,1594,81.8,1,1200,1200,0
1774008061,330.649,B3,0,1594,82.3,1,1200,1200,0
1774008062,331.653,B3,0,1594,80.8,1,1200,1200,0
1774008063,332.654,B3,0,1594,81.3,1,1200,1200,0
1774008064,333.657,B3,0,1594,81.8,1,1200,1200,0
1774008065,334.657,B3,0,1594,80.3,1,1200,1200,8
1774008066,335.657,B3,0,1594,80.3,1,1200,1200,0
1774008067,336.661,B3,0,1594,81.8,1,1200,1200,0
1774008068,337.661,B3,0,1594,81.8,1,1200,1200,0
1774008069,338.661,B3,0,1594,81.3,1,1200,1200,0
1774008070,339.661,B3,0,1594,81.3,1,1200,1200,0
1774008071,340.665,B3,0,1594,81.8,1,1200,1200,0
1774008072,341.669,B3,0,1594,81.3,1,1200,1200,0
1774008073,342.671,B3,0,1594,81.3,1,1200,1200,0
1774008074,343.671,B3,0,1594,80.3,1,1200,1200,0
1774008075,344.671,B3,0,1594,81.3,1,1200,1200,0
1774008076,345.672,B3,0,1594,81.3,1,1200,1200,0
1774008077,346.677,B3,0,1594,79.9,0,1200,1200,0
1774008078,347.681,B3,0,1594,81.8,1,1200,1200,0
1774008079,348.685,B3,0,1594,82.3,1,1200,1200,0
1774008080,349.689,B3,0,1594,81.3,1,1200,1200,0
1774008081,350.693,B3,0,1594,80.8,1,1200,1200,0
1774008082,351.697,B3,0,1594,80.8,1,1200,1200,0
1774008083,352.701,B3,0,1594,80.3,1,1200,1200,0
1774008084,353.705,B3,0,1594,81.3,1,1200,1200,0
1774008085,354.709,B3,0,1594,81.3,1,1200,1200,0
1774008086,355.713,B3,176.4257,1744,81.8,1,1200,1200,0
1774008087,356.717,B3,0,1744,80.8,1,1200,1200,0
1774008088,357.718,B3,0,1744,81.8,1,1200,1200,0
1774008089,358.721,B3,0,1744,80.3,1,1200,1200,0
1774008090,359.721,B3,0,1744,79.9,0,1200,1200,8
1774008091,360.725,B3,0,1744,80.3,1,1200,1200,0
1774008092,361.729,B3,0,1744,80.8,1,1200,1200,0
1774008093,362.733,B3,0,1744,81.8,1,1200,1200,0
1774008094,363.733,B3,0,1744,80.8,1,1200,1200,0
1774008095,364.737,B3,0,1744,81.3,1,1200,1200,0
1774008096,365.741,B3,0,1744,80.3,1,1200,1200,0
1774008097,366.745,B3,0,1744,80.8,1,1200,1200,0
1774008098,367.745,B3,0,1744,81.3,1,1200,1200,8
1774008099,368.749,B3,0,1744,81.8,1,1200,1200,0
1774008100,369.749,B3,0,1744,81.3,1,1200,1200,0
1774008101,370.753,B3,0,1744,80.3,1,1200,1200,0
1774008102,371.753,B3,0,1744,80.8,1,1200,1200,0
1774008103,372.757,B3,0,1744,81.3,1,1200,1200,0
1774008104,373.761,B3,0,1744,80.8,1,1200,1200,0
1774008105,374.765,B3,0,1744,80.8,1,1200,1200,0
1774008106,375.769,B3,0,1744,81.8,1,1200,1200,0
1774008107,376.773,B3,0,1744,80.8,1,1200,1200,0
